Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
AFTER,SnSb2Se5,-4.1869,0.519,Semiconductor,P1,-0.1629,-0.424,SnSb2Se5_id1142_Final_E-4.19.cif
,,,,,,,,
BEFORE,GeS10,-3.9985,1.834,Semiconductor,P2/m,,,GeS10_id999_E-4.00.cif
AFTER,GeS10,-4.1715,1.702,Semiconductor,P1,-0.1730,-0.132,GeS10_id999_Final_E-4.17.cif
,,,,,,,,
BEFORE,Li3AlSbSe4,-4.1546,0.954,Semiconductor,P-43m,,,Li3AlSbSe4_id1065_E-4.15.cif
AFTER,Li3AlSbSe4,-4.1692,1.177,Semiconductor,P-43m,-0.0146,0.223,Li3AlSbSe4_id1065_Final_E-4.17.cif
,,,,,,,,
BEFORE,InSiS19,-3.4487,1.896,Semiconductor,P1,,,InSiS19_id120_E-3.45.cif
AFTER,InSiS19,-4.1545,1.076,Semiconductor,P1,-0.7058,-0.820,InSiS19_id120_Final_E-4.15.cif
,,,,,,,,
BEFORE,KLi3Se3O4,-4.1501,2.496,Semiconductor,Pm-3n,,,KLi3Se3O4_id1728_E-4.15.cif
AFTER,KLi3Se3O4,-4.1501,2.496,Semiconductor,Pm-3n,0.0000,0.000,KLi3Se3O4_id1728_Final_E-4.15.cif
,,,,,,,,
BEFORE,LiSe2O3,-3.7879,2.931,Semiconductor,P1,,,LiSe2O3_id390_E-3.79.cif
AFTER,LiSe2O3,-4.1479,2.943,Semiconductor,P1,-0.3600,0.012,LiSe2O3_id390_Final_E-4.15.cif
,,,,,,,,
BEFORE,InSi4,-3.8794,1.483,Semiconductor,I4_1/a,,,InSi4_id2618_E-3.88.cif
AFTER,InSi4,-4.1454,1.868,Semiconductor,C2/c,-0.2660,0.385,InSi4_id2618_Final_E-4.15.cif
,,,,,,,,
BEFORE,BaCa6Sc3O2,-3.7149,1.035,Semiconductor,P6mm,,,BaCa6Sc3O2_id210_E-3.71.cif
AFTER,BaCa6Sc3O2,-4.1326,0.003,Metal,P1,-0.4177,-1.032,BaCa6Sc3O2_id210_Final_E-4.13.cif
,,,,,,,,
BEFORE,MgO,-4.1135,2.2,Semiconductor,P4_2/mmc,,,MgO_id446_E-4.11.cif
AFTER,MgO,-4.1282,0.0,Metal,P4_2/mmc,-0.0147,-2.200,MgO_id446_Final_E-4.13.cif
,,,,,,,,
BEFORE,Li5S6,-3.4498,2.352,Semiconductor,P-42_1m,,,Li5S6_id2423_E-3.45.cif
AFTER,Li5S6,-4.1239,1.892,Semiconductor,P1,-0.6741,-0.460,Li5S6_id2423_Final_E-4.12.cif
,,,,,,,,
BEFORE,GeAs2Se7,-3.8922,0.901,Semiconductor,P2/m,,,GeAs2Se7_id1066_E-3.89.cif
AFTER,GeAs2Se7,-4.1118,1.033,Semiconductor,P2/m,-0.2196,0.132,GeAs2Se7_id1066_Final_E-4.11.cif
,,,,,,,,
BEFORE,Li2AlGaSe4,-3.6729,0.391,Semiconductor,I-42d,,,Li2AlGaSe4_id434_E-3.67.cif
AFTER,Li2AlGaSe4,-4.1116,1.676,Semiconductor,I-42d,-0.4387,1.285,Li2AlGaSe4_id434_Final_E-4.11.cif
,,,,,,,,
BEFORE,AsS4O,-3.8027,2.058,Semiconductor,P2_12_12_1,,,AsS4O_id3129_E-3.80.cif
AFTER,AsS4O,-4.1095,2.609,Semiconductor,P1,-0.3068,0.551,AsS4O_id3129_Final_E-4.11.cif
,,,,,,,,
BEFORE,BaSrSnN,-3.94,0.778,Semiconductor,Pm,,,BaSrSnN_id1685_E-3.94.cif
AFTER,BaSrSnN,-4.1071,0.541,Semiconductor,C2/m,-0.1671,-0.237,BaSrSnN_id1685_Final_E-4.11.cif
,,,,,,,,
BEFORE,KIn(SeO4)2,-3.931,1.991,Semiconductor,P-1,,,KIn(SeO4)2_id2942_E-3.93.cif
AFTER,KIn(SeO4)2,-4.1053,1.989,Semiconductor,P-1,-0.1743,-0.002,KIn(SeO4)2_id2942_Final_E-4.11.cif
,,,,,,,,
BEFORE,GaS,-3.9771,0.616,Semiconductor,P6_522,,,GaS_id404_E-3.98.cif
AFTER,GaS,-4.0954,0.0,Metal,P6_522,-0.1183,-0.616,GaS_id404_Final_E-4.10.cif
,,,,,,,,
BEFORE,CaZn4CdO4,-3.8614,1.119,Semiconductor,P4bm,,,CaZn4CdO4_id1504_E-3.86.cif
AFTER,CaZn4CdO4,-4.0938,0.276,Semiconductor,P4bm,-0.2324,-0.843,CaZn4CdO4_id1504_Final_E-4.09.cif
,,,,,,,,
BEFORE,AsS5,-3.9208,1.678,Semiconductor,Pcca,,,AsS5_id2407_E-3.92.cif
AFTER,AsS5,-4.0927,0.624,Semiconductor,P2,-0.1719,-1.054,AsS5_id2407_Final_E-4.09.cif
,,,,,,,,
BEFORE,GeTe,-3.9314,0.187,Semiconductor,Pca2_1,,,GeTe_id1630_E-3.93.cif
AFTER,GeTe,-4.0875,0.0,Metal,Pca2_1,-0.1561,-0.187,GeTe_id1630_Final_E-4.09.cif
,,,,,,,,
BEFORE,LiTi2(Se3S5)2,-3.9193,0.551,Semiconductor,Cmc2_1,,,LiTi2(Se3S5)2_id3198_E-3.92.cif
AFTER,LiTi2(Se3S5)2,-4.087,1.61,Semiconductor,Pm,-0.1677,1.059,LiTi2(Se3S5)2_id3198_Final_E-4.09.cif
,,,,,,,,
BEFORE,Ti2O45,-3.4021,2.068,Semiconductor,P4/n,,,Ti2O45_id2832_E-3.40.cif
AFTER,Ti2O45,-4.083,0.199,Semiconductor,P2/c,-0.6809,-1.869,Ti2O45_id2832_Final_E-4.08.cif
,,,,,,,,
BEFORE,LiGaS4,-2.7287,0.398,Semiconductor,I4_1/a,,,LiGaS4_id848_E-2.73.cif
AFTER,LiGaS4,-4.0824,0.0,Metal,C2/c,-1.3537,-0.398,LiGaS4_id848_Final_E-4.08.cif
,,,,,,,,
BEFORE,KMg(TeO)4,-3.6633,2.831,Semiconductor,P4/nbm,,,KMg(TeO)4_id722_E-3.66.cif
AFTER,KMg(TeO)4,-4.0809,1.826,Semiconductor,Pban,-0.4176,-1.005,KMg(TeO)4_id722_Final_E-4.08.cif
,,,,,,,,
BEFORE,LiZn2O8,-3.9231,0.098,Semiconductor,Pm,,,LiZn2O8_id774_E-3.92.cif
AFTER,LiZn2O8,-4.0721,0.118,Semiconductor,Pm,-0.1490,0.020,LiZn2O8_id774_Final_E-4.07.cif
,,,,,,,,
BEFORE,SnO8,-4.0637,0.073,Semiconductor,Fm-3m,,,SnO8_id2712_E-4.06.cif
AFTER,SnO8,-4.0637,0.072,Semiconductor,Fm-3m,0.0000,-0.001,SnO8_id2712_Final_E-4.06.cif
,,,,,,,,
BEFORE,K11In3(BO)6,-3.709,2.766,Semiconductor,P-31c,,,K11In3(BO)6_id2455_E-3.71.cif
AFTER,K11In3(BO)6,-4.0624,0.387,Semiconductor,P-31c,-0.3534,-2.379,K11In3(BO)6_id2455_Final_E-4.06.cif
,,,,,,,,
BEFORE,Ba2Si2Ge4O,-3.4503,0.16,Semiconductor,Pmma,,,Ba2Si2Ge4O_id1344_E-3.45.cif
AFTER,Ba2Si2Ge4O,-4.0589,0.042,Metal,Pm,-0.6086,-0.118,Ba2Si2Ge4O_id1344_Final_E-4.06.cif
,,,,,,,,
BEFORE,KZn2O4,-3.8135,2.745,Semiconductor,P-42_1m,,,KZn2O4_id2323_E-3.81.cif
AFTER,KZn2O4,-4.0576,2.916,Semiconductor,P-42_1m,-0.2441,0.171,KZn2O4_id2323_Final_E-4.06.cif
,,,,,,,,
BEFORE,Li2SeS2,-3.5981,1.648,Semiconductor,P4_32_12,,,Li2SeS2_id1596_E-3.60.cif
AFTER,Li2SeS2,-4.0532,1.808,Semiconductor,P4_32_12,-0.4551,0.160,Li2SeS2_id1596_Final_E-4.05.cif
,,,,,,,,
BEFORE,KAs4,-3.8969,0.597,Semiconductor,P4_122,,,KAs4_id1694_E-3.90.cif
AFTER,KAs4,-4.0527,0.755,Semiconductor,P4_122,-0.1558,0.158,KAs4_id1694_Final_E-4.05.cif
,,,,,,,,
BEFORE,Ba3Ti3Ga8Si,-3.2369,0.509,Semiconductor,P-62m,,,Ba3Ti3Ga8Si_id2478_E-3.24.cif
AFTER,Ba3Ti3Ga8Si,-4.0486,0.0,Metal,P1,-0.8117,-0.509,Ba3Ti3Ga8Si_id2478_Final_E-4.05.cif
,,,,,,,,
BEFORE,KLiTeO2,-4.07,0.182,Semiconductor,Cm,,,KLiTeO2_id2808_E-4.07.cif
AFTER,KLiTeO2,-4.0471,0.0,Metal,P1,0.0229,-0.182,KLiTeO2_id2808_Final_E-4.05.cif
,,,,,,,,
BEFORE,Li2S,-3.8649,1.684,Semiconductor,Pbcn,,,Li2S_id2313_E-3.86.cif
AFTER,Li2S,-4.0417,2.292,Semiconductor,Pbcn,-0.1768,0.608,Li2S_id2313_Final_E-4.04.cif
,,,,,,,,
BEFORE,LiSeS,-3.8035,0.687,Semiconductor,Cmcm,,,LiSeS_id1057_E-3.80.cif
AFTER,LiSeS,-4.0401,1.625,Semiconductor,P1,-0.2366,0.938,LiSeS_id1057_Final_E-4.04.cif
,,,,,,,,
BEFORE,Al3ZnInS4,-4.0315,0.226,Semiconductor,P-43m,,,Al3ZnInS4_id2097_E-4.03.cif
AFTER,Al3ZnInS4,-4.0319,0.252,Semiconductor,P-43m,-0.0004,0.026,Al3ZnInS4_id2097_Final_E-4.03.cif
,,,,,,,,
BEFORE,Na2LiS4,-3.5728,0.163,Semiconductor,Pban,,,Na2LiS4_id1767_E-3.57.cif
AFTER,Na2LiS4,-4.0317,2.204,Semiconductor,P-1,-0.4589,2.041,Na2LiS4_id1767_Final_E-4.03.cif
,,,,,,,,
BEFORE,Sr2N8O17,-3.5657,0.177,Semiconductor,P1,,,Sr2N8O17_id1446_E-3.57.cif
AFTER,Sr2N8O17,-4.0308,0.319,Semiconductor,P1,-0.4651,0.142,Sr2N8O17_id1446_Final_E-4.03.cif
,,,,,,,,
BEFORE,Ba4GaAs4,-3.6593,0.529,Semiconductor,P3_121,,,Ba4GaAs4_id2450_E-3.66.cif
AFTER,Ba4GaAs4,-4.0302,0.024,Metal,P1,-0.3709,-0.505,Ba4GaAs4_id2450_Final_E-4.03.cif
,,,,,,,,
BEFORE,K(CaSi2)2,-3.7391,0.205,Semiconductor,I-4c2,,,K(CaSi2)2_id2763_E-3.74.cif
AFTER,K(CaSi2)2,-4.0302,0.784,Semiconductor,Iba2,-0.2911,0.579,K(CaSi2)2_id2763_Final_E-4.03.cif
,,,,,,,,
BEFORE,K3Ge(Se4S3)2,-3.5681,1.137,Semiconductor,P31m,,,K3Ge(Se4S3)2_id3235_E-3.57.cif
AFTER,K3Ge(Se4S3)2,-4.021,1.152,Semiconductor,P1,-0.4529,0.015,K3Ge(Se4S3)2_id3235_Final_E-4.02.cif
,,,,,,,,
BEFORE,LiAl(GaN)2,-3.8217,2.265,Semiconductor,P2,,,LiAl(GaN)2_id2497_E-3.82.cif
AFTER,LiAl(GaN)2,-4.0003,2.011,Semiconductor,P1,-0.1786,-0.254,LiAl(GaN)2_id2497_Final_E-4.00.cif
,,,,,,,,
BEFORE,NaMgS12,-3.9467,1.242,Semiconductor,Fd-3,,,NaMgS12_id1557_E-3.95.cif
AFTER,NaMgS12,-3.9987,1.814,Semiconductor,Fd-3,-0.0520,0.572,NaMgS12_id1557_Final_E-4.00.cif
,,,,,,,,
BEFORE,MgSc2,-3.3258,0.327,Semiconductor,P1,,,MgSc2_id162_E-3.33.cif
AFTER,MgSc2,-3.994,0.269,Semiconductor,P1,-0.6682,-0.058,MgSc2_id162_Final_E-3.99.cif
,,,,,,,,
BEFORE,Ge2N5O11,-3.8984,2.828,Semiconductor,P-4c2,,,Ge2N5O11_id953_E-3.90.cif
AFTER,Ge2N5O11,-3.9912,0.652,Semiconductor,P1,-0.0928,-2.176,Ge2N5O11_id953_Final_E-3.99.cif
,,,,,,,,
BEFORE,K4Si2PO2,-3.4027,1.388,Semiconductor,P-42m,,,K4Si2PO2_id1158_E-3.40.cif
AFTER,K4Si2PO2,-3.9909,0.944,Semiconductor,P-42m,-0.5882,-0.444,K4Si2PO2_id1158_Final_E-3.99.cif
,,,,,,,,
BEFORE,MgSnS,-3.3234,0.217,Semiconductor,P2_1,,,MgSnS_id2241_E-3.32.cif
AFTER,MgSnS,-3.9891,0.0,Metal,P2_1,-0.6657,-0.217,MgSnS_id2241_Final_E-3.99.cif
,,,,,,,,
BEFORE,CaCNO6,-4.8378,2.767,Semiconductor,P1,,,CaCNO6_id1398_E-4.84.cif
AFTER,CaCNO6,-3.9862,3.415,Semiconductor,P1,0.8516,0.648,CaCNO6_id1398_Final_E-3.99.cif
,,,,,,,,
BEFORE,KInSbSe8,-3.9601,2.325,Semiconductor,P4/mmm,,,KInSbSe8_id1343_E-3.96.cif
AFTER,KInSbSe8,-3.9765,0.452,Semiconductor,Pmm2,-0.0164,-1.873,KInSbSe8_id1343_Final_E-3.98.cif
,,,,,,,,
BEFORE,K2SbN2O11,-1.738,1.221,Semiconductor,C2/c,,,K2SbN2O11_id1960_E-1.74.cif
AFTER,K2SbN2O11,-3.9729,0.0,Metal,P1,-2.2349,-1.221,K2SbN2O11_id1960_Final_E-3.97.cif
,,,,,,,,
BEFORE,Na4SiS6,-3.8415,1.86,Semiconductor,P-42_1m,,,Na4SiS6_id253_E-3.84.cif
AFTER,Na4SiS6,-3.965,1.718,Semiconductor,P1,-0.1235,-0.142,Na4SiS6_id253_Final_E-3.97.cif
,,,,,,,,
BEFORE,As2PSeS16,-2.1133,1.6,Semiconductor,P2_1,,,As2PSeS16_id949_E-2.11.cif
AFTER,As2PSeS16,-3.9643,1.872,Semiconductor,P1,-1.8510,0.272,As2PSeS16_id949_Final_E-3.96.cif
,,,,,,,,
BEFORE,Se2S5,-3.8126,1.272,Semiconductor,Pba2,,,Se2S5_id1072_E-3.81.cif
AFTER,Se2S5,-3.9598,2.051,Semiconductor,Pba2,-0.1472,0.779,Se2S5_id1072_Final_E-3.96.cif
,,,,,,,,
BEFORE,K3O4,-3.9258,1.238,Semiconductor,I-43d,,,K3O4_id733_E-3.93.cif
AFTER,K3O4,-3.9577,2.392,Semiconductor,I-43d,-0.0319,1.154,K3O4_id733_Final_E-3.96.cif
,,,,,,,,
BEFORE,LiSeS,-3.927,0.908,Semiconductor,Pcc2,,,LiSeS_id3343_E-3.93.cif
AFTER,LiSeS,-3.9491,0.832,Semiconductor,Pcc2,-0.0221,-0.076,LiSeS_id3343_Final_E-3.95.cif
,,,,,,,,
BEFORE,ScCd4O24,-3.4292,2.751,Semiconductor,P1,,,ScCd4O24_id3213_E-3.43.cif
AFTER,ScCd4O24,-3.9433,1.846,Semiconductor,P1,-0.5141,-0.905,ScCd4O24_id3213_Final_E-3.94.cif
,,,,,,,,
BEFORE,MgS2,-3.5315,0.663,Semiconductor,P4/nnc,,,MgS2_id2809_E-3.53.cif
AFTER,MgS2,-3.9427,1.99,Semiconductor,P4/nnc,-0.4112,1.327,MgS2_id2809_Final_E-3.94.cif
,,,,,,,,
BEFORE,Na2Sn2GeO,-2.4776,0.092,Semiconductor,Pbam,,,Na2Sn2GeO_id2830_E-2.48.cif
AFTER,Na2Sn2GeO,-3.9418,0.0,Metal,P2_1,-1.4642,-0.092,Na2Sn2GeO_id2830_Final_E-3.94.cif
,,,,,,,,
BEFORE,NaSiGe2,-3.5064,0.566,Semiconductor,P4_2bc,,,NaSiGe2_id1422_E-3.51.cif
AFTER,NaSiGe2,-3.9351,0.0,Metal,P4_2bc,-0.4287,-0.566,NaSiGe2_id1422_Final_E-3.94.cif
,,,,,,,,
BEFORE,PSe2,-3.5698,1.003,Semiconductor,Aea2,,,PSe2_id543_E-3.57.cif
AFTER,PSe2,-3.9328,0.773,Semiconductor,P2,-0.3630,-0.230,PSe2_id543_Final_E-3.93.cif
,,,,,,,,
BEFORE,Sb2Te3As,-3.4907,0.515,Semiconductor,C2/m,,,Sb2Te3As_id514_E-3.49.cif
AFTER,Sb2Te3As,-3.9294,0.411,Semiconductor,P1,-0.4387,-0.104,Sb2Te3As_id514_Final_E-3.93.cif
,,,,,,,,
BEFORE,K2Na2SrO36,-3.4679,1.163,Semiconductor,P1,,,K2Na2SrO36_id433_E-3.47.cif
AFTER,K2Na2SrO36,-3.9272,0.993,Semiconductor,P1,-0.4593,-0.170,K2Na2SrO36_id433_Final_E-3.93.cif
,,,,,,,,
BEFORE,Si2PSeS,-3.2527,1.973,Semiconductor,P2/m,,,Si2PSeS_id2583_E-3.25.cif
AFTER,Si2PSeS,-3.9235,1.316,Semiconductor,P2/m,-0.6708,-0.657,Si2PSeS_id2583_Final_E-3.92.cif
,,,,,,,,
BEFORE,KNaAsS17,-3.4527,0.746,Semiconductor,P1,,,KNaAsS17_id1470_E-3.45.cif
AFTER,KNaAsS17,-3.9206,1.865,Semiconductor,P1,-0.4679,1.119,KNaAsS17_id1470_Final_E-3.92.cif
,,,,,,,,
BEFORE,Li5O14,-2.3901,0.483,Semiconductor,P4_2,,,Li5O14_id1060_E-2.39.cif
AFTER,Li5O14,-3.9201,4.792,Insulator,P4_2,-1.5300,4.309,Li5O14_id1060_Final_E-3.92.cif
,,,,,,,,
BEFORE,SeS2,-3.8909,2.391,Semiconductor,Pbca,,,SeS2_id2607_E-3.89.cif
AFTER,SeS2,-3.9199,0.0,Metal,Pbca,-0.0290,-2.391,SeS2_id2607_Final_E-3.92.cif
,,,,,,,,
BEFORE,AlGa2SiSe,-1.5433,0.076,Semiconductor,P2_1,,,AlGa2SiSe_id2785_E-1.54.cif
AFTER,AlGa2SiSe,-3.9172,1.012,Semiconductor,P1,-2.3739,0.936,AlGa2SiSe_id2785_Final_E-3.92.cif
,,,,,,,,
BEFORE,K3As(SeS)3,-3.6407,0.252,Semiconductor,R-3,,,K3As(SeS)3_id632_E-3.64.cif
AFTER,K3As(SeS)3,-3.9116,1.386,Semiconductor,P1,-0.2709,1.134,K3As(SeS)3_id632_Final_E-3.91.cif
,,,,,,,,
BEFORE,Mg4AlS3,-3.087,1.649,Semiconductor,P6_3,,,Mg4AlS3_id1511_E-3.09.cif
AFTER,Mg4AlS3,-3.9111,0.081,Semiconductor,P6_3,-0.8241,-1.568,Mg4AlS3_id1511_Final_E-3.91.cif
,,,,,,,,
BEFORE,Cd3CO10,-3.5334,2.574,Semiconductor,R32,,,Cd3CO10_id128_E-3.53.cif
AFTER,Cd3CO10,-3.9064,1.731,Semiconductor,R32,-0.3730,-0.843,Cd3CO10_id128_Final_E-3.91.cif
,,,,,,,,
BEFORE,Si8B,-3.6566,0.114,Semiconductor,Pm,,,Si8B_id176_E-3.66.cif
AFTER,Si8B,-3.8974,0.023,Metal,Pm,-0.2408,-0.091,Si8B_id176_Final_E-3.90.cif
,,,,,,,,
BEFORE,CdSi2Ge9S2,-3.8342,0.944,Semiconductor,Pnn2,,,CdSi2Ge9S2_id3169_E-3.83.cif
AFTER,CdSi2Ge9S2,-3.8895,0.712,Semiconductor,P1,-0.0553,-0.232,CdSi2Ge9S2_id3169_Final_E-3.89.cif
,,,,,,,,
BEFORE,TeO,-3.885,2.093,Semiconductor,P6_222,,,TeO_id2965_E-3.88.cif
AFTER,TeO,-3.8863,2.418,Semiconductor,P6_222,-0.0013,0.325,TeO_id2965_Final_E-3.89.cif
,,,,,,,,
BEFORE,ZnGeSe2,-3.8351,0.702,Semiconductor,I-42d,,,ZnGeSe2_id552_E-3.84.cif
AFTER,ZnGeSe2,-3.8798,1.133,Semiconductor,I-42d,-0.0447,0.431,ZnGeSe2_id552_Final_E-3.88.cif
,,,,,,,,
BEFORE,KZnCdO3,-0.534,1.291,Semiconductor,Pbca,,,KZnCdO3_id3071_E-0.53.cif
AFTER,KZnCdO3,-3.8791,0.421,Semiconductor,P2_1/c,-3.3451,-0.870,KZnCdO3_id3071_Final_E-3.88.cif
,,,,,,,,
BEFORE,Cd(GaSe2)2,-3.854,1.145,Semiconductor,P-42m,,,Cd(GaSe2)2_id2968_E-3.85.cif
AFTER,Cd(GaSe2)2,-3.8747,1.19,Semiconductor,P-42m,-0.0207,0.045,Cd(GaSe2)2_id2968_Final_E-3.87.cif
,,,,,,,,
BEFORE,AsO21,-3.011,0.256,Semiconductor,P4bm,,,AsO21_id1604_E-3.01.cif
AFTER,AsO21,-3.8705,1.025,Semiconductor,P1,-0.8595,0.769,AsO21_id1604_Final_E-3.87.cif
,,,,,,,,
BEFORE,LiBO,-3.8636,3.414,Semiconductor,P4_2/mmc,,,LiBO_id2740_E-3.86.cif
AFTER,LiBO,-3.8646,3.305,Semiconductor,P4_2/mmc,-0.0010,-0.109,LiBO_id2740_Final_E-3.86.cif
,,,,,,,,
BEFORE,BaSr2NO2,-3.9395,0.968,Semiconductor,P1,,,BaSr2NO2_id1642_E-3.94.cif
AFTER,BaSr2NO2,-3.864,0.07,Semiconductor,P1,0.0755,-0.898,BaSr2NO2_id1642_Final_E-3.86.cif
,,,,,,,,
BEFORE,ScGeBS18,-3.4885,1.648,Semiconductor,P1,,,ScGeBS18_id146_E-3.49.cif
AFTER,ScGeBS18,-3.8634,1.783,Semiconductor,P1,-0.3749,0.135,ScGeBS18_id146_Final_E-3.86.cif
,,,,,,,,
BEFORE,NaO2,-3.8625,3.146,Semiconductor,Fm-3m,,,NaO2_id1705_E-3.86.cif
AFTER,NaO2,-3.8625,3.146,Semiconductor,Fm-3m,0.0000,0.000,NaO2_id1705_Final_E-3.86.cif
,,,,,,,,
BEFORE,K2NaO2,-3.766,1.912,Semiconductor,Pbca,,,K2NaO2_id3181_E-3.77.cif
AFTER,K2NaO2,-3.8599,1.878,Semiconductor,Pbca,-0.0939,-0.034,K2NaO2_id3181_Final_E-3.86.cif
,,,,,,,,
BEFORE,KTe2(NO2)4,-3.7546,1.086,Semiconductor,P1,,,KTe2(NO2)4_id3185_E-3.75.cif
AFTER,KTe2(NO2)4,-3.8591,2.214,Semiconductor,P1,-0.1045,1.128,KTe2(NO2)4_id3185_Final_E-3.86.cif
,,,,,,,,
BEFORE,GaSb5,-2.9968,0.307,Semiconductor,P2_12_12_1,,,GaSb5_id2388_E-3.00.cif
AFTER,GaSb5,-3.8571,0.0,Metal,P1,-0.8603,-0.307,GaSb5_id2388_Final_E-3.86.cif
,,,,,,,,
BEFORE,SeS2,-3.8282,1.762,Semiconductor,P3_112,,,SeS2_id1279_E-3.83.cif
AFTER,SeS2,-3.857,1.658,Semiconductor,P3_112,-0.0288,-0.104,SeS2_id1279_Final_E-3.86.cif
,,,,,,,,
BEFORE,LiP,-3.6286,2.003,Semiconductor,P1,,,LiP_id2995_E-3.63.cif
AFTER,LiP,-3.8569,1.531,Semiconductor,P1,-0.2283,-0.472,LiP_id2995_Final_E-3.86.cif
,,,,,,,,
BEFORE,LiGeAs,-2.3614,0.858,Semiconductor,P6_522,,,LiGeAs_id806_E-2.36.cif
AFTER,LiGeAs,-3.8569,0.668,Semiconductor,P6_522,-1.4955,-0.190,LiGeAs_id806_Final_E-3.86.cif
,,,,,,,,
BEFORE,SrGaTe2,-3.8198,1.239,Semiconductor,I4_1/amd,,,SrGaTe2_id213_E-3.82.cif
AFTER,SrGaTe2,-3.8557,1.337,Semiconductor,I4_1/amd,-0.0359,0.098,SrGaTe2_id213_Final_E-3.86.cif
,,,,,,,,
BEFORE,LiBeSiGe2,-3.2609,0.47,Semiconductor,Pccm,,,LiBeSiGe2_id2361_E-3.26.cif
AFTER,LiBeSiGe2,-3.8553,0.182,Semiconductor,P-1,-0.5944,-0.288,LiBeSiGe2_id2361_Final_E-3.86.cif
,,,,,,,,
BEFORE,CdPS,-3.1238,0.823,Semiconductor,P4/nmm,,,CdPS_id1747_E-3.12.cif
AFTER,CdPS,-3.8524,1.666,Semiconductor,P2_1/m,-0.7286,0.843,CdPS_id1747_Final_E-3.85.cif
,,,,,,,,
BEFORE,NaGa2(AsP2)2,-3.1596,0.448,Semiconductor,P1,,,NaGa2(AsP2)2_id3258_E-3.16.cif
AFTER,NaGa2(AsP2)2,-3.849,0.0,Metal,P1,-0.6894,-0.448,NaGa2(AsP2)2_id3258_Final_E-3.85.cif
,,,,,,,,
BEFORE,KNa2GaS6,-3.6131,2.44,Semiconductor,Cmme,,,KNa2GaS6_id679_E-3.61.cif
AFTER,KNa2GaS6,-3.8489,2.664,Semiconductor,P2,-0.2358,0.224,KNa2GaS6_id679_Final_E-3.85.cif
,,,,,,,,
BEFORE,Ba4Li4SbP21,-3.779,1.573,Semiconductor,P4/mcc,,,Ba4Li4SbP21_id2279_E-3.78.cif
AFTER,Ba4Li4SbP21,-3.8469,2.787,Semiconductor,Pm,-0.0679,1.214,Ba4Li4SbP21_id2279_Final_E-3.85.cif
,,,,,,,,
BEFORE,KSn4(GeTe2)2,-3.5679,0.959,Semiconductor,I-42m,,,KSn4(GeTe2)2_id1192_E-3.57.cif
AFTER,KSn4(GeTe2)2,-3.8467,0.0,Metal,I-42m,-0.2788,-0.959,KSn4(GeTe2)2_id1192_Final_E-3.85.cif
,,,,,,,,
BEFORE,Li3Ge2(AsP)2,-2.7933,0.069,Semiconductor,P1,,,Li3Ge2(AsP)2_id1233_E-2.79.cif
AFTER,Li3Ge2(AsP)2,-3.8329,1.64,Semiconductor,P1,-1.0396,1.571,Li3Ge2(AsP)2_id1233_Final_E-3.83.cif
,,,,,,,,
BEFORE,Sr2Li2Ga3O2,-3.3109,0.115,Semiconductor,P4_2mc,,,Sr2Li2Ga3O2_id828_E-3.31.cif
AFTER,Sr2Li2Ga3O2,-3.8188,0.0,Metal,Ccc2,-0.5079,-0.115,Sr2Li2Ga3O2_id828_Final_E-3.82.cif
,,,,,,,,
BEFORE,Li2Be3PN2,-3.5534,2.362,Semiconductor,P2_1,,,Li2Be3PN2_id226_E-3.55.cif
AFTER,Li2Be3PN2,-3.8161,1.896,Semiconductor,P1,-0.2627,-0.466,Li2Be3PN2_id226_Final_E-3.82.cif
,,,,,,,,
BEFORE,KLiO8,-3.605,1.627,Semiconductor,P4/nbm,,,KLiO8_id1130_E-3.60.cif
AFTER,KLiO8,-3.815,2.735,Semiconductor,P1,-0.2100,1.108,KLiO8_id1130_Final_E-3.81.cif
,,,,,,,,
BEFORE,Ba7Ca2N20,-3.0086,1.944,Semiconductor,P1,,,Ba7Ca2N20_id1129_E-3.01.cif
AFTER,Ba7Ca2N20,-3.8075,2.661,Semiconductor,P1,-0.7989,0.717,Ba7Ca2N20_id1129_Final_E-3.81.cif
,,,,,,,,
BEFORE,Na2PO,-3.7974,2.446,Semiconductor,P4/mmm,,,Na2PO_id2064_E-3.80.cif
AFTER,Na2PO,-3.7974,2.356,Semiconductor,P4/mmm,0.0000,-0.090,Na2PO_id2064_Final_E-3.80.cif
,,,,,,,,
BEFORE,Li2P,-1.9744,2.955,Semiconductor,I4/mmm,,,Li2P_id3359_E-1.97.cif
AFTER,Li2P,-3.795,0.029,Metal,I4/mmm,-1.8206,-2.926,Li2P_id3359_Final_E-3.80.cif
,,,,,,,,
BEFORE,Li2SbSe2,-3.7893,1.339,Semiconductor,I4/mmm,,,Li2SbSe2_id449_E-3.79.cif
AFTER,Li2SbSe2,-3.7893,1.339,Semiconductor,I4/mmm,0.0000,0.000,Li2SbSe2_id449_Final_E-3.79.cif
,,,,,,,,
BEFORE,SeS,-3.5115,0.149,Semiconductor,P4/m,,,SeS_id1988_E-3.51.cif
AFTER,SeS,-3.7845,1.634,Semiconductor,P4/m,-0.2730,1.485,SeS_id1988_Final_E-3.78.cif
,,,,,,,,
BEFORE,GaAs,-3.7619,0.744,Semiconductor,P4_32_12,,,GaAs_id2315_E-3.76.cif
